283	abstrudo, abstrudere, abstrusi, abstrusus  V (3rd) TRANS
284	abstrusus, abstrusa -um, abstrusior -or -us, abstrusissimus -a -um  ADJ
285	abstruse  ADV
286	abstrusio, abstrusionis  N (3rd) F
287	abstulo, abstulere, -, -  V (3rd) TRANS
288	absumo, absumere, absumpsi, absumptus  V (3rd) TRANS
289	absumedo, absumedinis  N (3rd) F
290	absumptio, absumptionis  N (3rd) F
291	absurdus, absurda, absurdum  ADJ
292	absurde  ADV
293	absurditas, absurditatis  N (3rd) F
294	absynthium, absynthii  N (2nd) N
295	abundus, abunda, abundum  ADJ
296	abundo, abundare, abundavi, abundatus  V (1st)
297	abundans, abundantis (gen.), abundantior -or -us, abundantissimus -a -um  ADJ
298	abundanter, abundantius, abundantissime  ADV
299	abundantia, abundantiae  N (1st) F
300	abundatio, abundationis  N (3rd) F
301	abunde  ADV
302	abusus, abusus  N (4th) M
303	abusio, abusionis  N (3rd) F
304	abusivus, abusiva, abusivum  ADJ
305	abusive  ADV
306	abusor, abusoris  N (3rd) M
307	abusque  ADV
308	abusque  PREP  ABL
309	abutor, abuti, abusus sum  V (3rd) DEP
310	abverto, abvertere, abverti, abversus  V (3rd)
311	abyssus, abyssi  N (2nd) F
312	ac  CONJ
313	acus, acus  N (4th) F
314	aceo, acere, -, -  V (2nd) INTRANS
315	acacia, acaciae  N (1st) F
316	Academia, Academiae  N (1st) F
317	academicus, academica, academicum  ADJ
318	acalanthis, acalanthidos/is  N F
319	acalephe, acalephes  N F
320	acanus, acani  N (2nd) M
321	acanos, acani  N M
322	acanthus, acanthi  N (2nd) M
323	acanthos, acanthi  N M
324	acanthion, acanthii  N N
325	acanthius, acanthia, acanthium  ADJ
326	acanthicos, acanthicos, -  ADJ
327	-, -, acanthicon  ADJ
328	acanthillis, acanthillidis  N (3rd) F
329	acanthinus, acanthina, acanthinum  ADJ
330	acanthis, acanthidis  N (3rd) F
331	acanthyllis, acanthyllidis  N (3rd) F
332	acapnus, acapna, acapnum  ADJ
333	acapnos, acapnos, -  ADJ
334	-, -, acapnon  ADJ
335	acarus, acari  N (2nd) M
336	acarna, acarnae  N (1st) F
337	acarne, acarnes  N F
338	acatus, acati  N (2nd) F
339	acatalectus, acatalecta, acatalectum  ADJ
340	acatalecticus, acatalectica, acatalecticum  ADJ
341	acatalepsia, acatalepsiae  N (1st) F
342	acatholicus, acatholica, acatholicum  ADJ
343	acatholice  ADV
344	acatium, acatii  N (2nd) N
345	acation, acatii  N N
346	acaunumarga, acaunumargae  N (1st) F
347	acaustus, acausta, acaustum  ADJ
348	acaustos, acaustos, -  ADJ
349	-, -, acauston  ADJ
350	acceo, accere, -, -  V (2nd) TRANS
351	accano, accanere, -, -  V (3rd)
352	accantus, accantus  N (4th) M
353	accanto, accantere, -, -  V (3rd)
354	accapito, accapitare, accapitavi, accapitatus  V (1st) INTRANS
355	accedo, accedere, accessi, accessus  V (3rd)
356	accedenter  ADV
357	accedentia, accedentiae  N (1st) F
358	accelero, accelerare, acceleravi, acceleratus  V (1st)
359	acceleratio, accelerationis  N (3rd) F
360	acceleratrum, acceleratri  N (2nd) N
361	accendo, accendere, accendi, accensus  V (3rd) TRANS
362	accendium, accendii  N (2nd) N
363	accendo, accendonis  N (3rd) M
364	accensus, accensi  N (2nd) M
365	accensus, accensus  N (4th) M
366	accensus, accensa, accensum  ADJ
367	accenseo, accensere, accensui, accensus  V (2nd) TRANS
368	accensibilis, accensibilis, accensibile  ADJ
369	accentus, accentus  N (4th) M
370	accento, accentere, -, -  V (3rd)
371	accentiuncula, accentiunculae  N (1st) F
372	accentor, accentoris  N (3rd) M
373	accepta, acceptae  N (1st) F
374	acceptum, accepti  N (2nd) N
375	accepto, acceptare, acceptavi, acceptatus  V (1st) TRANS
376	acceptus, accepta -um, acceptior -or -us, acceptissimus -a -um  ADJ
377	acceptabilis, acceptabilis, acceptabile  ADJ
378	acceptarius, acceptaria, acceptarium  ADJ
379	acceptatus, acceptata -um, acceptatior -or -us, acceptatissimus -a -um  ADJ
380	acceptator, acceptatoris  N (3rd) M
381	acceptilatio, acceptilationis  N (3rd) F
382	acceptio, acceptionis  N (3rd) F
383	acceptor, acceptoris  N (3rd) M
384	acceptorius, acceptoria, acceptorium  ADJ
385	acceptrix, acceptricis  N (3rd) F
386	accerso, accersere, accersi, -  V (3rd) TRANS
387	accerso, accersere, accersivi, accersitus  V (3rd) TRANS
388	accersio, accersire, -, -  V (4th) TRANS
389	accersitus, accersitus  N (4th) M
390	accersitus, accersita, accersitum  ADJ
391	accersitio, accersitionis  N (3rd) F
392	accersitor, accersitoris  N (3rd) M
393	accessa, accessae  N (1st) F
394	accessus, accessus  N (4th) M
395	accessibilis, accessibilis, accessibile  ADJ
396	accessibilitas, accessibilitatis  N (3rd) F
397	accessio, accessionis  N (3rd) F
398	accessito, accessitare, accessitavi, accessitatus  V (1st) INTRANS
399	accessorius, accessoria, accessorium  ADJ
400	accessorie  ADV
401	accio, accire, accivi, accitus  V (4th) TRANS
402	accieo, acciere, accivi, accitus  V (2nd) TRANS
403	accido, accidere, accidi, accisus  V (3rd) TRANS
404	accidit, accidere, accidit, accisus est  V (3rd) IMPERS
405	accido, accidere, accidi, -  V (3rd)
406	accidens, accidentis  N (3rd) N
407	accidentalis, accidentalis, accidentale  ADJ
408	accidentia, accidentiae  N (1st) F
409	accino, accinere, -, -  V (3rd)
410	accinctus, accincta, accinctum  ADJ
411	accingo, accingere, accinxi, accinctus  V (3rd) TRANS
412	accipio, accipere, accepi, acceptus  V (3rd) TRANS
413	accipiter, accipitris  N (3rd) C
414	accipitro, accipitrare, accipitravi, accipitratus  V (1st) TRANS
415	accipitrina, accipitrinae  N (1st) F
416	accitus, accitus  N (4th) M
417	accitus, accita, accitum  ADJ
418	accitio, accitionis  N (3rd) F
419	acclamo, acclamare, acclamavi, acclamatus  V (1st)
420	acclamatio, acclamationis  N (3rd) F
421	acclaro, acclarare, acclaravi, acclaratus  V (1st) TRANS
422	acclinis, acclinis, accline  ADJ
423	acclino, acclinare, acclinavi, acclinatus  V (1st) TRANS
424	acclivus, accliva, acclivum  ADJ
425	acclivis, acclivis, acclive  ADJ
426	acclive, acclivis  N (3rd) N
427	acclivius, acclivia, acclivium  ADJ
428	acclivitas, acclivitatis  N (3rd) F
429	accludo, accludere, acclusi, acclusus  V (3rd) TRANS
430	accognosco, accognoscere, -, -  V (3rd) TRANS
431	accola, accolae  N (1st) C
432	accolo, accolere, accolui, accultus  V (3rd) TRANS
433	accolens, accolentis  N (3rd) M
434	accommodus, accommoda, accommodum  ADJ
435	accommodo, accommodare, accommodavi, accommodatus  V (1st) TRANS
436	accommodatus, accommodata -um, accommodatior -or -us, accommodatissimus -a -um  ADJ
437	accommodate, accommodatius, accommodatissime  ADV
438	accommodatio, accommodationis  N (3rd) F
439	accomodus, accomoda, accomodum  ADJ
440	accomodo, accomodare, accomodavi, accomodatus  V (1st) TRANS
441	accomodatus, accomodata -um, accomodatior -or -us, accomodatissimus -a -um  ADJ
442	accomodate, accomodatius, accomodatissime  ADV
443	accomodatio, accomodationis  N (3rd) F
444	accongero, accongerare, accongeravi, accongeratus  V (1st) TRANS
445	accordum, accordi  N (2nd) N
446	accordo, accordare, accordavi, accordatus  V (1st)
447	accordeon, accordei  N N
448	accorporo, accorporare, accorporavi, accorporatus  V (1st) TRANS
449	accredo, accredere, accredidi, accreditus  V (3rd) DAT
450	accresco, accrescere, accrevi, accretus  V (3rd) INTRANS
451	accretus, accreta, accretum  ADJ
452	accretio, accretionis  N (3rd) F
453	accubo, accubare, accubui, accubitus  V (1st)
454	accubitum, accubiti  N (2nd) N
455	accubitus, accubitus  N (4th) M
456	accubitalia, accubitaliae  N (1st) F
457	accubitatio, accubitationis  N (3rd) F
458	accubitio, accubitionis  N (3rd) F
459	accubitorius, accubitoria, accubitorium  ADJ
460	accubo  ADV
461	accudo, accudere, -, -  V (3rd) TRANS
462	accumbo, accumbere, accumbui, accumbitus  V (3rd)
463	accumulo, accumulare, accumulavi, accumulatus  V (1st) TRANS
464	accumulate, accumulatius, accumulatissime  ADV
465	accumulatio, accumulationis  N (3rd) F
466	accumulator, accumulatoris  N (3rd) M
467	accumulatrum, accumulatri  N (2nd) N
468	accuro, accurare, accuravi, accuratus  V (1st) TRANS
469	accuratus, accurata -um, accuratior -or -us, accuratissimus -a -um  ADJ
470	accurate, accuratius, accuratissime  ADV
471	accuratio, accurationis  N (3rd) F
472	accurro, accurrere, accucurri, accursus  V (3rd)
473	accurro, accurrere, accurri, accursus  V (3rd)
474	accursus, accursus  N (4th) M
475	accuso, accusare, accusavi, accusatus  V (1st)
476	accusabilis, accusabilis, accusabile  ADJ
477	accusatio, accusationis  N (3rd) F
478	accusativus, accusativi  N (2nd) M
479	accusativus, accusativa, accusativum  ADJ
480	accusator, accusatoris  N (3rd) M
481	accusatorius, accusatoria, accusatorium  ADJ
482	accusatorie  ADV
483	accusatrix, accusatricis  N (3rd) F
484	accusito, accusitare, accusitavi, accusitatus  V (1st) TRANS
485	accusso, accussare, accussavi, accussatus  V (1st)
486	acedia, acediae  N (1st) F
487	acedior, acediari, acediatus sum  V (1st) DEP
488	acediosus, acediosa, acediosum  ADJ
489	acentetus, acenteta, acentetum  ADJ
490	acephalus, acephala, acephalum  ADJ
491	acephalos, acephalos, -  ADJ
492	-, -, acephalon  ADJ
493	acer, aceris  N (3rd) N
494	acerus, acera, acerum  ADJ
495	acer, acris -e, acrior -or -us, acerrimus -a -um  ADJ
496	aceratus, acerata, aceratum  ADJ
497	acerbum, acerbi  N (2nd) N
498	acerbo, acerbare, acerbavi, acerbatus  V (1st) TRANS
499	acerbus, acerba -um, acerbior -or -us, acerbissimus -a -um  ADJ
500	acerbe, acerbius, acerbissime  ADV
501	acerbitas, acerbitatis  N (3rd) F
502	acerbitudo, acerbitudinis  N (3rd) F
503	acernus, acerna, acernum  ADJ
504	acerneus, acernea, acerneum  ADJ
505	acernia, acerniae  N (1st) F
506	acerosus, acerosa, acerosum  ADJ
507	acerra, acerrae  N (1st) F
508	acersecomes, acersecomae  N M
509	acertas, acertatis  N (3rd) F
510	acervus, acervi  N (2nd) M
511	acervo, acervare, acervavi, acervatus  V (1st) TRANS
512	acervalis, acervalis, acervale  ADJ
513	acervalis, acervalis  N (3rd) M
514	acervatim  ADV
515	acervatio, acervationis  N (3rd) F
516	acesco, acescere, acui, -  V (3rd) INTRANS
517	acescentia, acescentiae  N (1st) F
518	acesis, acesis  N (3rd) F
519	acetum, aceti  N (2nd) N
520	acetabulum, acetabuli  N (2nd) N
521	acetarum, acetari  N (2nd) N
522	acetarium, acetarii  N (2nd) N
523	acetasco, acetascare, acetascavi, acetascatus  V (1st) TRANS
524	acetosus, acetosa, acetosum  ADJ
525	achaemenis, achaemenidis  N (3rd) F
526	achanum, achani  N (2nd) N
527	achantum, achanti  N (2nd) N
528	acharis, acharis, achare  ADJ
