Bacchanal		11482	N	C	2	0	47
Bacchanal		11498	N	C	2	0	47
Bacchanalian		5982	N	C	2	0	47
Bacchanalian		5984	ADJ	D	2	10	47
Bacchanalian		5985	N	C	2	0	47
Bacchanalian		5990	N	E	3	0	24
Bacchanalian		18301	ADJ	E	2	10	37
Bacchante		26180	N	D	1	15	55
Bacchante		26181	N	D	1	15	55
Bacchantes		5981	ADJ	E	1	0	30
Bacchantes		5986	N	C	1	15	65
Bacchantes		5989	ADV	F	1	0	20
Bacchantes		19495	INTERJ	E	1	0	30
Bacchic		37254	N	D	1	0	40
Bacchic		37290	N	D	1	0	40
Bacchus		4527	N	F	1	0	20
Bacchus		4528	N	F	1	0	20
Bacchus		5978	N	C	1	15	65
Bacchus		5980	V	C	1	0	50
Bacchus		5982	N	C	1	0	50
Bacchus		5983	N	D	4	0	31
Bacchus		5984	ADJ	D	1	0	40
Bacchus		5985	N	C	1	0	50
Bacchus		5986	N	C	1	0	50
Bacchus		5990	N	E	1	0	30
Bacchus		6501	N	C	1	0	50
Bacchus		17940	N	D	2	10	47
Bacchus		19488	N	D	1	15	55
Bacchus		19489	N	D	1	15	55
Bacchus		19490	INTERJ	D	1	0	40
Bacchus		26180	N	D	1	0	40
Bacchus		26181	N	D	1	0	40
Bacchus		37765	N	D	1	0	40
Baectia		6020	N	D	1	15	55
Baectia		6021	ADJ	F	1	0	20
Bah		38391	INTERJ	B	4	10	61
Baiae		5950	N	F	2	0	17
Baiae		6023	N	E	2	0	27
Baltic		37197	N	D	1	0	40
Baptist		9168	N	N	1	0	15
Baruch		6190	N	F	1	15	35
Basilian		22030	N	F	1	0	20
Bay		5950	N	F	2	0	17
Bay		6023	N	E	2	0	27
Bear		4585	N	C	1	0	50
Bear		4586	N	C	1	0	50
Bear		4591	ADJ	E	2	0	27
Bear		4597	ADJ	F	1	0	20
Bear		15531	N	C	1	0	50
Bear		30722	N	C	2	0	47
Bear		30768	N	C	2	0	47
Bear		37814	N	C	2	0	47
Bear		38277	N	D	2	0	37
Bede		6295	N	E	1	15	45
Bedouin		6296	N	E	1	15	45
Behold		18673	INTERJ	F	2	10	27
Behold		18674	INTERJ	D	2	10	47
Behold		18675	INTERJ	E	2	10	37
Behold		18677	INTERJ	D	2	10	47
Behold		18679	INTERJ	E	2	10	37
Behold		18680	INTERJ	F	2	10	27
Behold		18681	INTERJ	E	2	10	37
Behold		18682	INTERJ	F	2	10	27
Behold		18691	INTERJ	F	2	10	27
Belgae		6304	N	C	1	15	65
Belgae		6305	N	E	1	0	30
Belgae		6306	ADJ	C	1	0	50
Belgic		26750	N	D	2	0	37
Belgic		27844	N	D	2	0	37
Belgica		6342	N	D	1	0	40
Belgium		6305	N	E	1	15	45
Belgium		26021	N	E	2	0	27
Belgium		27328	N	E	1	0	30
Bellona		6340	N	F	1	0	20
Bellovaci		6342	N	D	1	15	55
Ben		6037	ADJ	F	1	0	20
Benjamin		24925	ADJ	E	1	0	30
Benjamite		24925	ADJ	E	1	15	45
Bethlehem		6444	N	D	1	0	40
Bethsames		6445	N	E	1	15	45
Bethsames		6446	ADJ	E	1	0	30
Bethsamite		6446	ADJ	E	1	15	45
Bible		637	N	D	2	0	37
Bible		4762	N	E	1	0	30
Bible		6464	N	C	1	15	65
Bible		6465	N	C	1	15	65
Bible		17275	N	E	1	0	30
Bible		18685	N	E	1	0	30
Bible		18690	N	D	1	0	40
Bible		22186	N	F	3	0	14
Bible		24834	N	D	1	0	40
Bibrax		6482	N	D	1	15	55
Big		4585	N	C	1	0	50
Big		4586	N	C	1	0	50
Big		4597	ADJ	F	1	0	20
Big		9447	N	E	2	0	27
Big		9725	N	F	2	0	17
Big		30722	N	C	2	0	47
Big		30768	N	C	2	0	47
Big		34829	N	B	1	0	60
Big		34837	N	B	1	0	60
Bishop		3008	N	E	1	15	45
Bishop		3011	N	E	1	15	45
Bishop		3059	N	E	1	15	45
Bishop		3060	N	E	1	15	45
Bithynia		27876	N	E	1	0	30
Bituriges		6691	N	D	1	15	55
Black		7950	N	C	3	0	44
Black		18446	N	D	1	0	40
Black		18447	ADJ	D	2	0	37
Black		30932	N	D	2	0	37
Blessed		4943	N	F	1	0	20
Blessed		6276	N	E	3	0	24
Blessed		22509	N	F	2	0	17
Blessed		37811	N	D	3	0	34
Boli		6786	N	D	1	15	55
Bologna		6831	N	E	1	15	45
Bonae		15621	N	F	1	0	20
Bonaventura		34902	ADJ	F	2	0	17
Bonaventura		34905	ADJ	F	2	0	17
Book		4005	ADJ	E	1	0	30
Book		7941	N	F	1	0	20
Book		18312	N	E	1	0	30
Book		18314	N	E	1	0	30
Book		18685	N	E	1	0	30
Book		18690	N	D	1	0	40
Book		24834	N	D	1	0	40
Bootes		4599	N	C	1	0	50
Boreas		4377	N	C	4	10	51
Boreas		4381	ADJ	C	4	0	41
Boreas		6836	N	C	3	10	54
Boreas		6844	N	E	3	10	34
Breviary		6972	N	C	2	10	57
Brief		6963	N	E	1	15	45
Britain		2466	N	E	1	15	45
Britain		6989	N	D	1	15	55
Britain		6991	N	D	1	0	40
Britain		6992	N	F	1	0	20
Britain		7561	N	F	1	0	20
Britiany		38602	N	D	2	0	37
